region,year,listing_count,avg_price,median_price,min_price,max_price,price_stddev,yoy_growth_pct
AK,2000.0,12,142220.88166666665,142444.32,140876.93,143200.51,828.219003457346,
NE,2000.0,36,107658.64305555556,121837.595,75394.02,126623.52,22108.58679482,-14.466512248435038
WI,2000.0,54,127876.66388888888,148454.255,77041.53,176368.19,34363.98833129,21.84601559149293
GA,2000.0,395,96829.38450632911,90755.28,58627.54,159493.91,25727.72078526,-38.86650133403048
NH,2000.0,60,115261.479,115666.95999999999,70018.13,161996.99,27441.68998757,27.449290002741435
FL,2000.0,300,107653.4572,108912.66,54963.71,190726.7,27026.78326911,-5.839437640619227
WA,2000.0,93,152095.291827957,149919.73,116690.42,235635.26,33452.29212429,37.65133456477878
NV,2000.0,48,177864.27895833334,169889.05,139825.8,237502.06,33540.51850797,13.320007980270487
NY,2000.0,312,83728.86044871795,74549.94,48010.08,243975.26,35554.56202281,-56.11845495633767
DE,2000.0,12,138597.08583333335,138116.975,134046.87,145308.14,3973.757135051407,85.26772120809218
NaN,2000.0,12,126401.565,126081.405,123266.2,130660.53,2562.207319553343,-8.714041123475235
VT,2000.0,48,123289.58333333333,122457.475,102041.23,149800.17,14763.33133201,-2.8742779317854183
AR,2000.0,216,81235.5625925926,85305.485,46428.11,127839.73,19046.11661307,-30.33868696051425
OH,2000.0,384,90613.150859375,86356.07,53980.94,132938.26,18436.59972743,1.2315562123584423
CT,2000.0,60,178055.07766666668,155466.72,145795.38,289403.03,49005.27475866,80.0298693537119
OK,2000.0,240,74011.65283333333,71397.995,47043.13,107206.58,15588.81136081,-54.07506185246592
OR,2000.0,168,135827.4163095238,144420.39500000002,79805.49,189109.43,33649.4417616,102.27514091957346
PA,2000.0,180,96134.37422222222,101036.51,50049.25,129126.82,22625.98646362,-30.039998851962714
CO,2000.0,156,179056.62051282052,176256.59,92225.89,329135.36,62921.84190715,74.44841473641559
VA,2000.0,120,115893.19316666666,117289.05,63390.38,194316.65,37831.28139427,-33.45550937981949
